Monitor - Gender Equality,,,,,,,,,, 
Date,Development,Forecast,Signpost,Slider Score,Sector Impacted,Who is impacted?,National Security Considerations,Link,Additional Link and/or note,Domains of Assessment
1/25/2025,"The US State Department has frozen nearly all foreign assistance worldwide, effective immediately, days after President Donald Trump issued a sweeping executive order Monday to put a hold on such aid for 90 days.",Forecast - Diplomatic Disruption,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",4,Federal Agencies,"women and LGBTQ+ beneficiaries, international gender rights organizations",no,https://www.cnn.com/2025/01/24/politics/us-freezes-foreign-aid,,Procedural/Institutional
1/25/2025,"Secretary of State Marco Rubio has directed the State Department to freeze applications in the passport pipeline with “X” selected as the gender identifier, according to internal communication reviewed by ABC News.
",Forecast - Hybrid Political/Social Disruption,Signpost - Changes to legal recognition of gender and family structure ,3,Federal Agencies,transgender and gender-diverse individuals,no,https://abcnews.go.com/US/state-department-halts-passport-gender-marker-applications/story?id=118062178,,Material Impact
1/26/2025," Michigan’s hate crime law will soon be expanded to protect sexual orientation, gender identity or expression, age, disability and more. The first overhaul to the law in about 36 years will also stiffen the criminal and possible civil penalties for committing a hate crime and expand the definition of hate crimes. The changes, signed into law Wednesday by Gov. Gretchen Whitmer, take effect April 2.",Forecast - Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-3,State Government,"transgender and gender-diverse individuals, LGBTQ+ individuals",no,https://www.pbs.org/newshour/show/study-finds-gender-affirming-care-for-minors-is-very-rare-refuting-political-narrative,https://www.mlive.com/politics/2025/01/gender-identity-sexuality-to-be-protected-under-michigans-hate-crime-law.html,Procedural/Institutional
1/27/2025,Lambda Legal and the Human Rights Campaign today announced their intent to sue the Trump administration to block implementation of yet another discriminatory and dangerous attempt to bar patriotic transgender military service members from serving openly in the U.S. armed services. President Trump issued the transgender military service ban today. ,Forecast- Status Quo,,0,Civil Society/NGOs,Trans military personnel,no,https://lambdalegal.org/newsroom/us_20250127_ll-and-hrc-pledge-quick-action-against-trump-administration-renewed-transgender-military-service-ban/,,Discursive/Symbolic
1/27/2025,"A transgender woman serving in a federal prison has filed a lawsuit arguing that President Donald Trump's executive order directing the U.S. government to recognize only two, unchangeable sexes and requiring inmates like her to be housed in men's prisons violates the U.S. Constitution and federal law.",Forecast- Status Quo,,0,Federal Judiciary,trans and non-binary inmates,no,https://www.reuters.com/legal/transgender-inmate-sues-over-trumps-order-curtailing-lgbt-rights-2025-01-27/,,Procedural/Institutional
1/27/2025,"Days after President Trump issued an executive order (EO) taking aim at diversity, equity, and inclusion (DEI) programs and prohibiting federal recognition of gender identity apart from biological sex, previously issued draft guidance on diversity in clinical trials was removed from the website of the U.S. Food and Drug Administration (FDA). While the removed guidance was in draft form, it is highly unusual for FDA to revoke or alter draft guidance without issuing a statement or further guidance. This move raises questions about the applicability of statutory obligations to submit clinical trial Diversity Action Plans and the agency’s current thinking on best practices for clinical development.",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Agencies,Academic and public health researchers,no,https://www.crowell.com/en/insights/client-alerts/after-trump-executive-orders-fda-removes-diversity-guidance-from-website,,Procedural/Institutional
1/28/2025,President Trump issued an executive order banning transgender military members from being able to serve.,Forecast - Hybrid Political/Security Disruption,Signpost - Removal of qualified civil servants and service members in national security sectors due to sexual orientation or gender identity,4,Federal Executive,Trans military personnel,yes,https://www.npr.org/sections/shots-health-news/2025/01/28/nx-s1-5277106/trump-executive-order-transgender-military,,Procedural/Institutional
1/29/2025,"President Trump issued an executive order calling for the restructuring of educational curriculum to return to a more ""patriotic education""; this includes incorporating directives from previous executive orders that limit protections for women and gender diverse people and nullify DEI initiatives.",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Education Systems,"transgender and gender-diverse youth, youth, Education practitioners",no,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-indoctrination-in-k-12-schooling/,,Procedural/Institutional
1/29/2025,"The Trump administration ordered federal agencies to scrub mentions of ""gender ideology"" in contracts, job descriptions and social media accounts in line with an executive order forcing the government to recognize only two sexes. A memo issued Wednesday by the U.S. Office of Personnel Management gives guidance on carrying out an executive order by President Donald Trump requiring federal agencies to ""recognize women are biologically female, and men are biologically male.""",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",3,Federal Agencies,"transgender and gender-diverse individuals, federal workforce, trans and non-binary federal workforce",indirect,https://www.reuters.com/world/us/trump-orders-agencies-scrub-gender-ideology-contracts-websites-2025-01-30/,,Procedural/Institutional
1/30/2025,"Executive Order 14168 of January 20, 2025 -Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,"transgender and gender-diverse youth, transgender and gender-diverse individuals",no,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,,Procedural/Institutional
1/30/2025,"As the White House implements President Donald Trump’s executive orders, some public health groups and state and local health departments have been ordered to “immediately terminate” all programs and activities promoting diversity, equity and inclusion that are supported by certain funding through the US Centers for Disease Control and Prevention, according to two people in the public health field who received the memo.
",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Governance / Public Institutions,"Marginalized ethnicity groups, women and girls, LGBTQ+ individuals",no,https://www.cnn.com/politics/live-news/rfk-jr-hearing-trump-news-01-30-25,,Material Impact
1/31/2025,"Multiple US government agencies have ordered employees “to remove gender identifying pronouns from email signature blocks by 5:00 PM” on Friday, according to internal emails seen by CNN.",Forecast - Hybrid Political/Social Disruption,Signpost - Changes to legal recognition of gender and family structure ,2,Federal Agencies,federal workforce,no,https://www.cnn.com/2025/01/31/politics/us-government-agencies-order-employees-to-remove-gender-pronouns-from-email-signatures,,Discursive/Symbolic
1/31/2025,The Trump administration reinstated Title IX policies from his previous term. Such policies include narrowing the definition of sexual assault and the complication of legal procedures for reporting and prosecuting sexual assault cases.,Forecast - Hybrid Political/Social Disruption,Signpost - Reduction of protections against gender-based violence ,3,Education Systems,"survivors of sexual violence, women and girls",no,https://www.chronicle.com/article/4-years-later-trumps-title-ix-rule-is-back-its-whiplash-for-colleges,Background info on Title IX: https://www.suno.edu/page/what-is-title-ix,Procedural/Institutional
1/31/2025,"Memorandum for NASA Acquisition Workforce - This guidance directed agencies to take immediate action to identify and terminate gender ideology initiatives and programs and remove final or pending documents, directives, orders, materials, and such plans issued by agencies that conflict with the signed Executive Order. Effective immediately, the procurement, grant, cooperative agreement, and advertisement of gender ideological activities is prohibited",Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Agencies,"federal workforce, trans and non-binary federal workforce",no,https://www.nasa.gov/wp-content/uploads/2025/01/agency-memo-defending-women.pdf?emrc=3f64db,,Procedural/Institutional
1/31/2025,"Officials at the U.S. Centers for Disease Control and Prevention and other federal health agencies are scrubbing or taking down webpages, forms and programs that reflect ""gender ideology extremism"" on Friday to conform with an executive order that recognizes only two sexes: male and female.",Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Agencies,"federal workforce, trans and non-binary federal workforce",no,https://www.reuters.com/world/us/us-health-agencies-scrubbing-websites-remove-gender-ideology-2025-01-31/,,Material Impact
2/1/2025,"A leading New York City hospital system has begun canceling appointments for transgender children following President Trump’s executive order threatening to withhold federal funding to hospitals that provide gender-affirming treatments, according to the children’s parents. The hospital system, NYU Langone Health, has not made any public announcements. But word spread among parents of trans children after the hospital canceled appointments for two 12-year-olds who had been scheduled to receive implants that dispense puberty-blocking medication.",Forecast -  Social Disruption ,"Signpost - Service withdrawal or denial driven by anticipated legal, financial, or political retaliation",2,Healthcare Systems,transgender and gender-diverse youth,no,https://www.nytimes.com/2025/02/01/nyregion/nyu-langone-hospital-trans-care-youth.html,,Material Impact
2/1/2025,"Government agency webpages about HIV, LGBTQ+ people and multiple other public health topics were down as of Friday evening due to President Donald Trump's executive orders aimed at gender ideology and diversity, equity and inclusion. Some of the terms being flagged for removal include pregnant people, chestfeeding, diversity, DEI and references to vaccines, health and gender equity, according to officials at the Centers for Disease Control and Prevention who spoke to ABC News on the condition of anonymity.",Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Agencies,"women and girls, LGBTQ+ individuals",no,https://abcnews.go.com/Health/multiple-health-agency-websites-hiv-contraception-comply-executive/story?id=118335484,,Material Impact
2/1/2025,"Today, Rep. Mark Takano (CA-39), Chair of the Congressional Equality Caucus, released the following statement in response to the Trump Administration’s censorship of transgender-inclusive and other LGBTQI+ resources across the federal government: “Trump’s censorship of information about trans people and other resources for LGBTQI+ people is just the latest part of his crusade to undermine the health, wellbeing, and civil rights of transgender people, as well as LGBTQI+ people and minorities more broadly,” said Rep. Mark Takano, Chair of the Congressional Equality Caucus. “The Trump Administration is weaponizing the federal government against the transgender community and minorities—just like Project 2025’s plan told him to. Trump’s efforts to censor the ‘T’ from ‘LGBT,’ however, can’t remove trans people from our community, and won’t divide us. We must stand united against this hate. Republicans in Congress who are silent on Trump’s gross abuses of federal power to target minorities are complicit in the damage and pain his attacks are causing Americans.”",Forecast- Status Quo,,-1,Federal Legislative,"transgender and gender-diverse individuals, LGBTQ+ individuals",no,https://equality.house.gov/media-center/press-releases/trumps-efforts-censor-t-lgbt-cant-remove-trans-people-our-community,,Discursive/Symbolic
2/2/2025,"The Department of Health and Human Services directed recipients of grant funding from the Centers for Disease Control and Prevention to immediately halt all programs, personnel and activities related to ""gender ideology,"" according to an email obtained by ABC News.",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Agencies,"LGBTQ+ individuals, transgender and gender-diverse individuals, federal workforce",no,https://abcnews.go.com/Politics/live-updates/trump-2nd-term-live-updates-executive-action-plans/?id=117934786,,Procedural/Institutional
2/3/2025,More than 8000 US government websites were taken down last week after all government departments and agencies were ordered to on Wednesday 29 January to “end all agency programs that use taxpayer money to promote or reflect gender ideology.” They were given until 5 pm on Friday 31 January to do so.1,Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,4,Federal Agencies,"LGBTQ+ individuals, transgender and gender-diverse individuals",no,https://www.bmj.com/content/388/bmj.r233,,Material Impact
2/3/2025,"On Friday, the Centers for Disease Control and Prevention purged from its website thousands of pages that included terms such as “transgender,” “L.G.B.T.” and “pregnant person,” to comply with an executive order barring any material that promoted “gender ideology.” By Monday, some of the pages had reappeared, in part in response to intense media coverage, backlash from the scientific community and concern for the public’s health, according to a senior official with knowledge of the matter.",Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Agencies,"women and girls, LGBTQ+ individuals, transgender and gender-diverse individuals",no,https://www.nytimes.com/2025/02/03/health/trump-gender-ideology-research.html ,,Material Impact
2/4/2025," Transgender young adults and families with transgender youth joined PFLAG National and GLMA in a federal legal challenge against an executive order from the Trump administration attempting to shut down access to necessary medical care for transgender people under 19 nationwide.
",Forecast- Status Quo,,0,Federal Judiciary,transgender and gender-diverse youth,no,https://www.aclu.org/press-releases/families-and-advocates-sue-trump-administration-over-executive-order-seeking-to-restrict-access-to-gender-affirming-care,,Procedural/Institutional
2/4/2025,"A Los Angeles health clinic says it’s losing federal funding as a result of President Donald Trump’s executive orders targeting transgender people. St. John’s Community Health, one of the largest free and reduced-cost providers in Los Angeles, reported that the Centers for Disease Control and Prevention on Friday terminated a $1.6 million grant that was supposed to support its transgender health and social services program.",Forecast - Economic Disruption ," Signpost - Cuts  or divestments in federal scientific, evidence-based research, or mass media related to equity, gender, or social policy",3,Healthcare Systems,transgender and gender-diverse individuals,no,https://calmatters.org/health/2025/02/trump-executive-order-transgender-health/,,Material Impact
2/5/2025,"Executive Order titled ""Keeping Men Out of Women’s Sports,"" prohibiting IX funds from being dispersed to institutions that allow transgender students to participate on sports teams. 
",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,transgender and gender-diverse youth,no,https://www.whitehouse.gov/presidential-actions/2025/02/keeping-men-out-of-womens-sports/,https://www.nbcnews.com/nbc-out/out-politics-and-policy/trump-executive-order-ban-trans-women-sports-rcna190767,Procedural/Institutional
2/5/2025,New York Attorney General Letitia James today joined a coalition of 13 attorneys general to reaffirm their commitment to protecting access to gender-affirming care in the face of the Trump administration’s recent Executive Order.,Forecast - Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-2,State Government,transgender and gender-diverse individuals,no,https://ag.ny.gov/press-release/2025/attorney-general-james-and-coalition-13-attorneys-general-issue-joint-statement,,Procedural/Institutional
2/6/2025,"One week after EO 14168 was issued, on January 28, 2025, Acting Chair of the U.S. Equal Employment Opportunity Commission (EEOC), Andrea Lucas, “announced the agency is returning to its mission of protecting women from sexual harassment and sex-based discrimination in the workplace.” Citing EO 14168, Acting Chair Lucas took a number of actions, including: Announcing the EEOC will prioritize defending the “biological and binary reality of sex and related rights, including women’s rights to single-sex spaces at work”; and Removed materials promoting “gender ideology” on the EEOC’s internal and external websites.
",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,2,Federal Agencies,"transgender and gender-diverse individuals, women and girls",no,https://www.swlaw.com/publication/president-trumps-executive-order-enforcing-binary-gender-recognition-marks-significant-policy-shift-and-employment-impact/,,Material Impact
2/7/2025,"Following an executive order from President Donald Trump barring people from updating the sex designation on their passports, seven people have filed a federal lawsuit challenging the State Department’s refusal to issue passports with accurate sex designations.",Forecast- Status Quo,,0,Federal Judiciary,transgender and gender-diverse individuals,no,https://www.aclu.org/press-releases/transgender-and-nonbinary-people-take-trump-to-court-over-passport-restrictions,https://www.wcvb.com/article/aclu-trangender-passport-lawsuit-trump-boston-federal-court/63723440,Procedural/Institutional
2/7/2025,"On February 6, 2025, the National Collegiate Athletic Association (NCAA) announced its new policy, prohibiting athletes assigned male at birth from participating in women’s sports competitions, aligning the NCAA eligibility rules with President Donald Trump’s recent executive order (EO) barring transgender athletes from women’s sports. The new rules reverse a prior policy of allowing athletes to participate in accordance with their gender identity.",Forecast -  Social Disruption ,Signpost - Institutional adoption of gender-restrictive participation policies in education and sports,3,Education Systems,trans and non binary athletes,no,https://ogletree.com/insights-resources/blog-posts/ncaa-bars-transgender-athletes-from-womens-sports-aligning-with-president-trumps-executive-order/?_gl=1*1tj5h6l*_up*MQ..*_ga*MTk0MTE2OTc5OS4xNzYzNDY2MjM4*_ga_V4WT9JNBFT*czE3NjM0NjYyMzgkbzEkZzAkdDE3NjM0NjYyMzgkajYwJGwwJGgw,,Procedural/Institutional
2/7/2025,"The decision by President Donald Trump to exclude transgender girls and women from female sports has triggered what is likely to be a long, complex clash with global sports authorities as the United States counts down to the 2028 Los Angeles Olympics.",Forecast -  Social Disruption ,Signpost - Institutional adoption of gender-restrictive participation policies in education and sports,3,International/Multilateral,trans and non binary athletes,indirect,https://www.reuters.com/sports/olympics/trump-order-transgender-athletes-clashes-with-international-norms-2025-02-07/,,Societal Behavior and Norms
2/7/2025,"Late last week, George Washington University (GWU) cancer researcher Mandi Pratt-Chapman received a shocking phone call. Because of an executive order by President Donald Trump that has widely disrupted research related to gender or diversity being done by federal workers or U.S.-funded scientists, she and her colleagues had been ordered to immediately stop work on a large-scale cancer study funded by the U.S. National Institutes of Health (NIH). The project, which explores the best ways to collect information on sexual orientation and gender identity of cancer patients, was already one-third of the way through data collection.
",Forecast -  Social Disruption ,"Signpost - Service withdrawal or denial driven by anticipated legal, financial, or political retaliation",2,Education Systems,Academic and public health researchers,no,https://www.science.org/content/article/how-cancer-researcher-lost-gender-related-grant-trump-s-executive-orders,,Material Impact
2/7/2025,"President Donald Trump’s administration is switching positions in a major Supreme Court case on transgender rights, backing away from the Biden administration’s opposition to Tennessee’s ban on gender-affirming care for minors.",Forecast - Political Disruption,"Signpost - Judicial challenges seeking to weaken, reinterpret, or overturn gender-related civil rights precedents",2,Federal Executive,transgender and gender-diverse youth,no,https://www.cnn.com/2025/02/07/politics/supreme-court-lgbtq-skrmetti-switch,,Procedural/Institutional
2/7/2025,"Oregon’s attorney general is joining a lawsuit against the Trump administration over an executive order that aims to block access to gender-affirming care for children and young adults. The order, which was signed by President Donald Trump on Jan. 28, seeks to cut off federal funding from institutions that provide hormone therapy, puberty blockers and surgical treatment for people under 19.",Forecast - Political Progression ,Signpost - State-level legal challenges seeking to block or overturn federal gender restrictive actions,-2,State Government,transgender and gender-diverse youth,no,https://www.opb.org/article/2025/02/07/oregon-washington-lawsuit-trump-order-transgender-health-care/,,Procedural/Institutional
2/8/2025,"U.S. officials on Friday sought to expunge any references to diversity, equity, and inclusion, or DEI, and “gender ideology” in a series of UNICEF work programs in Colombia, Ethiopia, Iraq, Paraguay, and Rwanda.",Forecast - Diplomatic Disruption,Signpost - US foreign policy actions or statements aligning with domestic conservative agendas on gender and sexuality ,3,International/Multilateral,"women and LGBTQ+ beneficiaries, Marginalized ethnicity groups",no,https://www.devex.com/news/exclusive-the-trump-administration-takes-war-on-dei-and-gender-global-109337,,Discursive/Symbolic
2/8/2025,The National Institutes of Health announced Friday that the agency is making cuts to grants that support research institutions by limiting the amount of indirect funding for research projects to just 15%.,Forecast - Economic Disruption ," Signpost - Cuts  or divestments in federal scientific, evidence-based research, or mass media related to equity, gender, or social policy",2,Federal Agencies,Academic and public health researchers,no,https://www.nbcnews.com/politics/politics-news/nih-announces-slashing-funding-indirect-research-costs-rcna191337,,Material Impact
2/8/2025,"The U.S. Department of Education told employees late Friday that it will end all programs, contracts and policies that “fail to affirm the reality of biological sex,” carrying out President Donald Trump’s vow to restrict transgender rights.",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Agencies,transgender and gender-diverse individuals,no,https://www.propublica.org/article/department-of-education-transgender-students-email,,Material Impact
2/9/2025,"The National Academies of Sciences, Engineering and Medicine is an independent, 162-year-old nongovernmental agency tasked with investigating and reporting on a wide range of subjects. In recent years, diversity, equity and inclusion — collectively known as D.E.I. — have been central to its agenda. But the Academies’ priorities changed abruptly on Jan. 31. Shortly after receiving a “stop work” order from the Trump administration, the institute closed its Office of Diversity and Inclusion, removed prominent links to its work on D.E.I. from its website’s homepage and paused projects on related themes.",Forecast -  Social Disruption ,"Signpost - Service withdrawal or denial driven by anticipated legal, financial, or political retaliation",2,Education Systems,Academic and public health researchers,no,https://www.nytimes.com/2025/02/09/science/trump-dei-science.html,,Material Impact
2/10/2025,"The White House issued a press release pointing to hospitals that had immediately canceled appointments: NYU Langone in New York City, UCHealth in Denver, Children's National in Washington, D.C., and others.",Forecast -  Social Disruption ,"Signpost - Service withdrawal or denial driven by anticipated legal, financial, or political retaliation",2,Healthcare Systems,"Healthcare practitioners, transgender and gender-diverse individuals",no,https://www.npr.org/sections/shots-health-news/2025/02/10/nx-s1-5292390/trump-transgender-gender-affirming-care-hospital,,Material Impact
2/10/2025,"On Friday, February 7, leaders from the Democratic Women’s Caucus hosted a press conference to address the constant attacks on women and families by President Trump, Republicans, and Elon Musk since January 20. DWC Vice Chair Hillary Scholten (MI-03), Communications Task Force Co-Chair Shontel Brown (OH-11), Whip Nikema Williams (GA-05), Policy Task Force Co-Chair Deborah Ross (NC-02), Reproductive Health Care Task Force Co-Chair & Liaison Judy Chu (CA-28), Member April McClain Delaney (MD-06), Chair Emerita Lois Frankel (FL-22), and DWC Member Julia Brownley (CA-26) also affirmed that the Caucus will always stand and fight for women and families.",Forecast - Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-1,Federal Legislative,"women and girls, elected officials",no,https://juliabrownley.house.gov/democratic-womens-caucus-leaders-condemned-trumps-attacks-pledged-to-stand-for-women-and-families/,,Discursive/Symbolic
2/11/2025,"Representative Sara Jacobs introduced the Protect U.S. National Security Act. The legislation reiterates that any USAID reform should abide by existing laws and not harm American soft power, prohibits the use of funds to eliminate USAID as an independent agency, and requires annual certification of this prohibition by the Secretary of State. The legislation currently has 21 co-sponsors. The legislation would protect USAID initiatives, including those that protect LGBTQ+ individuals and women.",Forecast- Status Quo,,-1,Federal Legislative,"women and LGBTQ+ beneficiaries, federal workforce",no,https://sarajacobs.house.gov/news/press-releases/rep-sara-jacobs-introduces-legislation-to-protect-usaid,,Procedural/Institutional
2/12/2025,"Two transgender girls who attend high school in New Hampshire challenged the Trump administration’s recent executive order banning transgender girls and women from participating in girls’ sports, according to a court filing.
",Forecast- Status Quo,,0,Federal Judiciary,trans and non binary athletes,no,https://www.cnn.com/2025/02/12/us/transgender-girls-athletes-trump-lawsuit,,Procedural/Institutional
2/12/2025,"President Donald Trump’s Department of Education on Wednesday announced that it is opening a Title IX investigation into the California Interscholastic Federation, a statewide governing body that oversees sports at more than 1,500 high schools, for its policy of allowing transgender girls to play female sports.",Forecast - Political Disruption,Signpost - Federal agency intervention targeting states resisting discriminatory federal policies,2,Federal Agencies,transgender and gender-diverse youth,no,https://www.sacbee.com/news/politics-government/capitol-alert/article300223539.html,,Procedural/Institutional
2/12/2025,"On February 12, 2025, the U.S. Department of Education under the Trump administration rescinded recent guidance that name, image, and likeness (NIL) payments to college athletes implicate the gender equal opportunity requirements of Title IX of the Education Amendments of 1972.",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",2,Federal Agencies,women and girls,no,https://ogletree.com/insights-resources/blog-posts/trump-administration-says-title-ix-does-not-apply-to-nil-pay-rescinds-recent-guidance/,,Material Impact
2/12/2025,"The National Endowment for the Arts is telling arts groups not to use federal funds to promote “diversity, equity and inclusion” or “gender ideology” in ways that run afoul of President Trump’s executive orders — causing confusion and concern.",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,2,Cultural/Media Institutions,"Marginalized ethnicity groups, women and girls, LGBTQ+ individuals, transgender and gender-diverse individuals",no,https://www.nytimes.com/2025/02/12/arts/nea-dei-gender.html,,Material Impact
2/12/2025,The U.S. agency that oversees Medicare is taking out questions on enrollment application forms that ask people about their sexual orientation and gender identity.,Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,2,Federal Agencies,transgender and gender-diverse individuals,no,https://www.statnews.com/2025/02/12/medicare-enrollment-forms-remove-gender-sexual-orientation-trump-order/,,Material Impact
